simulation_id,experiment_id,taxon_set_id,tree_size,triplets_per_simulation,backbone_id,backbone_shape,backbone_shape_class,backbone_balance_score,backbone_balance_bin,backbone_newick,network_newick,donor,recipient,direction,pair_type,gamma,ils_length,gene_tree_count,replicate,scenario_group,seed,source_manifest_row,analysis_selected,analysis_selection_rank
supervisor_scope_corrected__n004_backbone_09__ils0.02__g0.50__G1000__r1__A4toA1__distant,supervisor_scope_corrected,n004,4,4,n004_backbone_09,"(((A3,A4),A2),A1)","(((x,x),x),x)",1.0,Q4,"(((A3:1,A4:1):0.02,A2:1.02):0.02,A1:1.04);","((A1:0.25)#H1:0.79,(((A4:0.25,#H1:0.0::0.5):0.75,A3:1):0.02,A2:1.02):0.02);",A4,A1,A4>A1,distant,0.5,0.02,1000,1,n004_backbone_09|0.02|0.5|1000|A4>A1|distant,695462586,894,True,1
supervisor_scope_corrected__n004_backbone_09__ils0.10__g0.00__G2000__r3__none,supervisor_scope_corrected,n004,4,4,n004_backbone_09,"(((A3,A4),A2),A1)","(((x,x),x),x)",1.0,Q4,"(((A3:1,A4:1):0.1,A2:1.1):0.1,A1:1.2);","(((A3:1,A4:1):0.1,A2:1.1):0.1,A1:1.2);",none,none,none,none,0.0,0.1,2000,3,n004_backbone_09|0.1|0|2000|none|none,71915359,909,True,2
supervisor_scope_corrected__n004_backbone_09__ils0.50__g0.25__G500__r1__A3toA4__close,supervisor_scope_corrected,n004,4,4,n004_backbone_09,"(((A3,A4),A2),A1)","(((x,x),x),x)",1.0,Q4,"(((A3:1,A4:1):0.5,A2:1.5):0.5,A1:2);","((((A4:0.25)#H1:0.75,(A3:0.25,#H1:0.0::0.25):0.75):0.5,A2:1.5):0.5,A1:2);",A3,A4,A3>A4,close,0.25,0.5,500,1,n004_backbone_09|0.5|0.25|500|A3>A4|close,1771498559,949,True,3
supervisor_scope_corrected__n004_backbone_10__ils0.02__g0.25__G1000__r1__A4toA3__intermediate,supervisor_scope_corrected,n004,4,4,n004_backbone_10,"(((A1,A3),A4),A2)","(((x,x),x),x)",1.0,Q3,"(((A1:1,A3:1):0.02,A4:1.02):0.02,A2:1.04);","((((A3:0.25)#H1:0.75,A1:1):0.02,(A4:0.25,#H1:0.0::0.25):0.77):0.02,A2:1.04);",A4,A3,A4>A3,intermediate,0.25,0.02,1000,1,n004_backbone_10|0.02|0.25|1000|A4>A3|intermediate,844097195,989,True,1
supervisor_scope_corrected__n004_backbone_10__ils0.10__g0.50__G2000__r1__A1toA3__close,supervisor_scope_corrected,n004,4,4,n004_backbone_10,"(((A1,A3),A4),A2)","(((x,x),x),x)",1.0,Q3,"(((A1:1,A3:1):0.1,A4:1.1):0.1,A2:1.2);","((((A3:0.25)#H1:0.75,(A1:0.25,#H1:0.0::0.5):0.75):0.1,A4:1.1):0.1,A2:1.2);",A1,A3,A1>A3,close,0.5,0.1,2000,1,n004_backbone_10|0.1|0.5|2000|A1>A3|close,172515643,1039,True,2
supervisor_scope_corrected__n004_backbone_10__ils0.50__g0.00__G2500__r1__none,supervisor_scope_corrected,n004,4,4,n004_backbone_10,"(((A1,A3),A4),A2)","(((x,x),x),x)",1.0,Q3,"(((A1:1,A3:1):0.5,A4:1.5):0.5,A2:2);","(((A1:1,A3:1):0.5,A4:1.5):0.5,A2:2);",none,none,none,none,0.0,0.5,2500,1,n004_backbone_10|0.5|0|2500|none|none,546065998,1054,True,3
supervisor_scope_corrected__n005_backbone_01__ils0.02__g0.00__G2500__r1__none,supervisor_scope_corrected,n005,5,10,n005_backbone_01,"(((A4,A5),A2),(A1,A3))","(((x,x),x),(x,x))",0.3333333333333333,Q2,"(((A4:1,A5:1):0.02,A2:1.02):0.02,(A1:1.02,A3:1.02):0.02);","(((A4:1,A5:1):0.02,A2:1.02):0.02,(A1:1.02,A3:1.02):0.02);",none,none,none,none,0.0,0.02,2500,1,n005_backbone_01|0.02|0|2500|none|none,1429528625,1090,True,1
supervisor_scope_corrected__n005_backbone_01__ils0.10__g0.25__G500__r1__A1toA3__close,supervisor_scope_corrected,n005,5,10,n005_backbone_01,"(((A4,A5),A2),(A1,A3))","(((x,x),x),(x,x))",0.3333333333333333,Q2,"(((A4:1,A5:1):0.1,A2:1.1):0.1,(A1:1.1,A3:1.1):0.1);","(((A3:0.25)#H1:0.85,(A1:0.25,#H1:0.0::0.25):0.85):0.1,((A4:1,A5:1):0.1,A2:1.1):0.1);",A1,A3,A1>A3,close,0.25,0.1,500,1,n005_backbone_01|0.1|0.25|500|A1>A3|close,1210451602,1129,True,2
supervisor_scope_corrected__n005_backbone_01__ils0.50__g0.50__G1000__r1__A5toA3__distant,supervisor_scope_corrected,n005,5,10,n005_backbone_01,"(((A4,A5),A2),(A1,A3))","(((x,x),x),(x,x))",0.3333333333333333,Q2,"(((A4:1,A5:1):0.5,A2:1.5):0.5,(A1:1.5,A3:1.5):0.5);","(((A3:0.25)#H1:1.25,A1:1.5):0.5,(((A5:0.25,#H1:0.0::0.5):0.75,A4:1):0.5,A2:1.5):0.5);",A5,A3,A5>A3,distant,0.5,0.5,1000,1,n005_backbone_01|0.5|0.5|1000|A5>A3|distant,569944788,1182,True,3
supervisor_scope_corrected__n005_backbone_02__ils0.02__g0.00__G2000__r1__none,supervisor_scope_corrected,n005,5,10,n005_backbone_02,"(((A1,A3),A5),(A2,A4))","(((x,x),x),(x,x))",0.3333333333333333,Q1,"(((A1:1,A3:1):0.02,A5:1.02):0.02,(A2:1.02,A4:1.02):0.02);","(((A1:1,A3:1):0.02,A5:1.02):0.02,(A2:1.02,A4:1.02):0.02);",none,none,none,none,0.0,0.02,2000,1,n005_backbone_02|0.02|0|2000|none|none,917769757,1195,True,1
supervisor_scope_corrected__n005_backbone_02__ils0.10__g0.25__G2500__r1__A3toA1__close,supervisor_scope_corrected,n005,5,10,n005_backbone_02,"(((A1,A3),A5),(A2,A4))","(((x,x),x),(x,x))",0.3333333333333333,Q1,"(((A1:1,A3:1):0.1,A5:1.1):0.1,(A2:1.1,A4:1.1):0.1);","((((A1:0.25)#H1:0.75,(A3:0.25,#H1:0.0::0.25):0.75):0.1,A5:1.1):0.1,(A2:1.1,A4:1.1):0.1);",A3,A1,A3>A1,close,0.25,0.1,2500,1,n005_backbone_02|0.1|0.25|2500|A3>A1|close,2063116748,1246,True,2
supervisor_scope_corrected__n005_backbone_02__ils0.50__g0.50__G500__r1__A4toA3__distant,supervisor_scope_corrected,n005,5,10,n005_backbone_02,"(((A1,A3),A5),(A2,A4))","(((x,x),x),(x,x))",0.3333333333333333,Q1,"(((A1:1,A3:1):0.5,A5:1.5):0.5,(A2:1.5,A4:1.5):0.5);","((((A3:0.25)#H1:0.75,A1:1):0.5,A5:1.5):0.5,((A4:0.25,#H1:0.0::0.5):1.25,A2:1.5):0.5);",A4,A3,A4>A3,distant,0.5,0.5,500,1,n005_backbone_02|0.5|0.5|500|A4>A3|distant,525813614,1287,True,3
supervisor_scope_corrected__n005_backbone_03__ils0.02__g0.00__G1000__r1__none,supervisor_scope_corrected,n005,5,10,n005_backbone_03,"(((A1,A4),A2),(A3,A5))","(((x,x),x),(x,x))",0.3333333333333333,Q1,"(((A1:1,A4:1):0.02,A2:1.02):0.02,(A3:1.02,A5:1.02):0.02);","(((A1:1,A4:1):0.02,A2:1.02):0.02,(A3:1.02,A5:1.02):0.02);",none,none,none,none,0.0,0.02,1000,1,n005_backbone_03|0.02|0|1000|none|none,2088495672,1300,True,1
supervisor_scope_corrected__n005_backbone_03__ils0.10__g0.25__G2000__r1__A4toA1__close,supervisor_scope_corrected,n005,5,10,n005_backbone_03,"(((A1,A4),A2),(A3,A5))","(((x,x),x),(x,x))",0.3333333333333333,Q1,"(((A1:1,A4:1):0.1,A2:1.1):0.1,(A3:1.1,A5:1.1):0.1);","((((A1:0.25)#H1:0.75,(A4:0.25,#H1:0.0::0.25):0.75):0.1,A2:1.1):0.1,(A3:1.1,A5:1.1):0.1);",A4,A1,A4>A1,close,0.25,0.1,2000,1,n005_backbone_03|0.1|0.25|2000|A4>A1|close,1055644690,1351,True,2
supervisor_scope_corrected__n005_backbone_03__ils0.50__g0.50__G2500__r1__A4toA5__distant,supervisor_scope_corrected,n005,5,10,n005_backbone_03,"(((A1,A4),A2),(A3,A5))","(((x,x),x),(x,x))",0.3333333333333333,Q1,"(((A1:1,A4:1):0.5,A2:1.5):0.5,(A3:1.5,A5:1.5):0.5);","(((A5:0.25)#H1:1.25,A3:1.5):0.5,(((A4:0.25,#H1:0.0::0.5):0.75,A1:1):0.5,A2:1.5):0.5);",A4,A5,A4>A5,distant,0.5,0.5,2500,1,n005_backbone_03|0.5|0.5|2500|A4>A5|distant,1785122411,1404,True,3
supervisor_scope_corrected__n005_backbone_04__ils0.02__g0.00__G2000__r1__none,supervisor_scope_corrected,n005,5,10,n005_backbone_04,"(((A1,A5),(A3,A4)),A2)","(((x,x),(x,x)),x)",0.5,Q2,"(((A1:1,A5:1):0.02,(A3:1,A4:1):0.02):0.02,A2:1.04);","(((A1:1,A5:1):0.02,(A3:1,A4:1):0.02):0.02,A2:1.04);",none,none,none,none,0.0,0.02,2000,1,n005_backbone_04|0.02|0|2000|none|none,1657305706,1411,True,1
supervisor_scope_corrected__n005_backbone_04__ils0.10__g0.25__G2500__r1__A1toA5__close,supervisor_scope_corrected,n005,5,10,n005_backbone_04,"(((A1,A5),(A3,A4)),A2)","(((x,x),(x,x)),x)",0.5,Q2,"(((A1:1,A5:1):0.1,(A3:1,A4:1):0.1):0.1,A2:1.2);","((((A5:0.25)#H1:0.75,(A1:0.25,#H1:0.0::0.25):0.75):0.1,(A3:1,A4:1):0.1):0.1,A2:1.2);",A1,A5,A1>A5,close,0.25,0.1,2500,1,n005_backbone_04|0.1|0.25|2500|A1>A5|close,100739442,1462,True,2
supervisor_scope_corrected__n005_backbone_04__ils0.50__g0.50__G500__r1__A4toA5__distant,supervisor_scope_corrected,n005,5,10,n005_backbone_04,"(((A1,A5),(A3,A4)),A2)","(((x,x),(x,x)),x)",0.5,Q2,"(((A1:1,A5:1):0.5,(A3:1,A4:1):0.5):0.5,A2:2);","((((A5:0.25)#H1:0.75,A1:1):0.5,((A4:0.25,#H1:0.0::0.5):0.75,A3:1):0.5):0.5,A2:2);",A4,A5,A4>A5,distant,0.5,0.5,500,1,n005_backbone_04|0.5|0.5|500|A4>A5|distant,1597186295,1503,True,3
supervisor_scope_corrected__n005_backbone_05__ils0.02__g0.25__G2000__r1__A1toA3__intermediate,supervisor_scope_corrected,n005,5,10,n005_backbone_05,"((((A3,A4),A2),A1),A5)","((((x,x),x),x),x)",1.0,Q4,"((((A3:1,A4:1):0.02,A2:1.02):0.02,A1:1.04):0.02,A5:1.06);","(((((A3:0.25)#H1:0.75,A4:1):0.02,A2:1.02):0.02,(A1:0.25,#H1:0.0::0.25):0.79):0.02,A5:1.06);",A1,A3,A1>A3,intermediate,0.25,0.02,2000,1,n005_backbone_05|0.02|0.25|2000|A1>A3|intermediate,493593771,1532,True,1
supervisor_scope_corrected__n005_backbone_05__ils0.10__g0.50__G2500__r1__A4toA3__close,supervisor_scope_corrected,n005,5,10,n005_backbone_05,"((((A3,A4),A2),A1),A5)","((((x,x),x),x),x)",1.0,Q4,"((((A3:1,A4:1):0.1,A2:1.1):0.1,A1:1.2):0.1,A5:1.3);","(((((A3:0.25)#H1:0.75,(A4:0.25,#H1:0.0::0.5):0.75):0.1,A2:1.1):0.1,A1:1.2):0.1,A5:1.3);",A4,A3,A4>A3,close,0.5,0.1,2500,1,n005_backbone_05|0.1|0.5|2500|A4>A3|close,1671493533,1582,True,2
supervisor_scope_corrected__n005_backbone_05__ils0.50__g0.00__G500__r1__none,supervisor_scope_corrected,n005,5,10,n005_backbone_05,"((((A3,A4),A2),A1),A5)","((((x,x),x),x),x)",1.0,Q4,"((((A3:1,A4:1):0.5,A2:1.5):0.5,A1:2):0.5,A5:2.5);","((((A3:1,A4:1):0.5,A2:1.5):0.5,A1:2):0.5,A5:2.5);",none,none,none,none,0.0,0.5,500,1,n005_backbone_05|0.5|0|500|none|none,1761153774,1585,True,3
supervisor_scope_corrected__n005_backbone_06__ils0.02__g0.50__G2000__r1__A1toA5__close,supervisor_scope_corrected,n005,5,10,n005_backbone_06,"((((A1,A5),A2),A3),A4)","((((x,x),x),x),x)",1.0,Q3,"((((A1:1,A5:1):0.02,A2:1.02):0.02,A3:1.04):0.02,A4:1.06);","(((((A5:0.25)#H1:0.75,(A1:0.25,#H1:0.0::0.5):0.75):0.02,A2:1.02):0.02,A3:1.04):0.02,A4:1.06);",A1,A5,A1>A5,close,0.5,0.02,2000,1,n005_backbone_06|0.02|0.5|2000|A1>A5|close,882053533,1651,True,1
