simulation_id,experiment_id,taxon_set_id,tree_size,triplets_per_simulation,backbone_id,backbone_shape,backbone_shape_class,backbone_balance_score,backbone_balance_bin,backbone_newick,network_newick,donor,recipient,direction,pair_type,gamma,ils_length,gene_tree_count,replicate,scenario_group,seed,source_manifest_row,analysis_selected,analysis_selection_rank
supervisor_scope_corrected__n005_backbone_06__ils0.10__g0.00__G500__r2__none,supervisor_scope_corrected,n005,5,10,n005_backbone_06,"((((A1,A5),A2),A3),A4)","((((x,x),x),x),x)",1.0,Q3,"((((A1:1,A5:1):0.1,A2:1.1):0.1,A3:1.2):0.1,A4:1.3);","((((A1:1,A5:1):0.1,A2:1.1):0.1,A3:1.2):0.1,A4:1.3);",none,none,none,none,0.0,0.1,500,2,n005_backbone_06|0.1|0|500|none|none,485750595,1658,True,2
supervisor_scope_corrected__n005_backbone_06__ils0.50__g0.25__G1000__r1__A3toA1__intermediate,supervisor_scope_corrected,n005,5,10,n005_backbone_06,"((((A1,A5),A2),A3),A4)","((((x,x),x),x),x)",1.0,Q3,"((((A1:1,A5:1):0.5,A2:1.5):0.5,A3:2):0.5,A4:2.5);","(((((A1:0.25)#H1:0.75,A5:1):0.5,A2:1.5):0.5,(A3:0.25,#H1:0.0::0.25):1.75):0.5,A4:2.5);",A3,A1,A3>A1,intermediate,0.25,0.5,1000,1,n005_backbone_06|0.5|0.25|1000|A3>A1|intermediate,1355976571,1709,True,3
supervisor_scope_corrected__n005_backbone_07__ils0.02__g0.00__G2500__r2__none,supervisor_scope_corrected,n005,5,10,n005_backbone_07,"(((A3,A5),A2),(A1,A4))","(((x,x),x),(x,x))",0.3333333333333333,Q1,"(((A3:1,A5:1):0.02,A2:1.02):0.02,(A1:1.02,A4:1.02):0.02);","(((A3:1,A5:1):0.02,A2:1.02):0.02,(A1:1.02,A4:1.02):0.02);",none,none,none,none,0.0,0.02,2500,2,n005_backbone_07|0.02|0|2500|none|none,279817162,1739,True,1
supervisor_scope_corrected__n005_backbone_07__ils0.10__g0.25__G1000__r1__A4toA5__distant,supervisor_scope_corrected,n005,5,10,n005_backbone_07,"(((A3,A5),A2),(A1,A4))","(((x,x),x),(x,x))",0.3333333333333333,Q1,"(((A3:1,A5:1):0.1,A2:1.1):0.1,(A1:1.1,A4:1.1):0.1);","((((A5:0.25)#H1:0.75,A3:1):0.1,A2:1.1):0.1,((A4:0.25,#H1:0.0::0.25):0.85,A1:1.1):0.1);",A4,A5,A4>A5,distant,0.25,0.1,1000,1,n005_backbone_07|0.1|0.25|1000|A4>A5|distant,593299308,1782,True,2
supervisor_scope_corrected__n005_backbone_07__ils0.50__g0.50__G2000__r1__A2toA4__intermediate,supervisor_scope_corrected,n005,5,10,n005_backbone_07,"(((A3,A5),A2),(A1,A4))","(((x,x),x),(x,x))",0.3333333333333333,Q1,"(((A3:1,A5:1):0.5,A2:1.5):0.5,(A1:1.5,A4:1.5):0.5);","(((A4:0.25)#H1:1.25,A1:1.5):0.5,((A2:0.25,#H1:0.0::0.5):1.25,(A3:1,A5:1):0.5):0.5);",A2,A4,A2>A4,intermediate,0.5,0.5,2000,1,n005_backbone_07|0.5|0.5|2000|A2>A4|intermediate,1259289775,1832,True,3
supervisor_scope_corrected__n005_backbone_08__ils0.02__g0.25__G500__r1__A2toA1__intermediate,supervisor_scope_corrected,n005,5,10,n005_backbone_08,"((((A2,A5),A3),A1),A4)","((((x,x),x),x),x)",1.0,Q4,"((((A2:1,A5:1):0.02,A3:1.02):0.02,A1:1.04):0.02,A4:1.06);","(((A1:0.25)#H1:0.79,(((A2:0.25,#H1:0.0::0.25):0.75,A5:1):0.02,A3:1.02):0.02):0.02,A4:1.06);",A2,A1,A2>A1,intermediate,0.25,0.02,500,1,n005_backbone_08|0.02|0.25|500|A2>A1|intermediate,172045358,1850,True,1
supervisor_scope_corrected__n005_backbone_08__ils0.10__g0.50__G1000__r1__A2toA5__close,supervisor_scope_corrected,n005,5,10,n005_backbone_08,"((((A2,A5),A3),A1),A4)","((((x,x),x),x),x)",1.0,Q4,"((((A2:1,A5:1):0.1,A3:1.1):0.1,A1:1.2):0.1,A4:1.3);","(((((A5:0.25)#H1:0.75,(A2:0.25,#H1:0.0::0.5):0.75):0.1,A3:1.1):0.1,A1:1.2):0.1,A4:1.3);",A2,A5,A2>A5,close,0.5,0.1,1000,1,n005_backbone_08|0.1|0.5|1000|A2>A5|close,131096348,1900,True,2
supervisor_scope_corrected__n005_backbone_08__ils0.50__g0.00__G2000__r1__none,supervisor_scope_corrected,n005,5,10,n005_backbone_08,"((((A2,A5),A3),A1),A4)","((((x,x),x),x),x)",1.0,Q4,"((((A2:1,A5:1):0.5,A3:1.5):0.5,A1:2):0.5,A4:2.5);","((((A2:1,A5:1):0.5,A3:1.5):0.5,A1:2):0.5,A4:2.5);",none,none,none,none,0.0,0.5,2000,1,n005_backbone_08|0.5|0|2000|none|none,844762618,1915,True,3
supervisor_scope_corrected__n005_backbone_09__ils0.02__g0.00__G1000__r2__none,supervisor_scope_corrected,n005,5,10,n005_backbone_09,"((((A2,A4),A3),A1),A5)","((((x,x),x),x),x)",1.0,Q3,"((((A2:1,A4:1):0.02,A3:1.02):0.02,A1:1.04):0.02,A5:1.06);","((((A2:1,A4:1):0.02,A3:1.02):0.02,A1:1.04):0.02,A5:1.06);",none,none,none,none,0.0,0.02,1000,2,n005_backbone_09|0.02|0|1000|none|none,1493715388,1949,True,1
supervisor_scope_corrected__n005_backbone_09__ils0.10__g0.25__G2500__r1__A5toA4__distant,supervisor_scope_corrected,n005,5,10,n005_backbone_09,"((((A2,A4),A3),A1),A5)","((((x,x),x),x),x)",1.0,Q3,"((((A2:1,A4:1):0.1,A3:1.1):0.1,A1:1.2):0.1,A5:1.3);","(((((A4:0.25)#H1:0.75,A2:1):0.1,A3:1.1):0.1,A1:1.2):0.1,(A5:0.25,#H1:0.0::0.25):1.05);",A5,A4,A5>A4,distant,0.25,0.1,2500,1,n005_backbone_09|0.1|0.25|2500|A5>A4|distant,998751983,2004,True,2
supervisor_scope_corrected__n005_backbone_09__ils0.50__g0.50__G500__r1__A1toA2__intermediate,supervisor_scope_corrected,n005,5,10,n005_backbone_09,"((((A2,A4),A3),A1),A5)","((((x,x),x),x),x)",1.0,Q3,"((((A2:1,A4:1):0.5,A3:1.5):0.5,A1:2):0.5,A5:2.5);","(((((A2:0.25)#H1:0.75,A4:1):0.5,A3:1.5):0.5,(A1:0.25,#H1:0.0::0.5):1.75):0.5,A5:2.5);",A1,A2,A1>A2,intermediate,0.5,0.5,500,1,n005_backbone_09|0.5|0.5|500|A1>A2|intermediate,905126900,2042,True,3
supervisor_scope_corrected__n005_backbone_10__ils0.02__g0.25__G500__r1__A2toA5__distant,supervisor_scope_corrected,n005,5,10,n005_backbone_10,"((((A1,A2),A4),A3),A5)","((((x,x),x),x),x)",1.0,Q3,"((((A1:1,A2:1):0.02,A4:1.02):0.02,A3:1.04):0.02,A5:1.06);","((A5:0.25)#H1:0.81,((((A2:0.25,#H1:0.0::0.25):0.75,A1:1):0.02,A4:1.02):0.02,A3:1.04):0.02);",A2,A5,A2>A5,distant,0.25,0.02,500,1,n005_backbone_10|0.02|0.25|500|A2>A5|distant,1593058141,2067,True,1
