simulation_id,experiment_id,backbone_id,backbone_shape,backbone_shape_class,backbone_newick,network_newick,donor,recipient,direction,gamma,ils_length,gene_tree_count,replicate,scenario_group,seed
pilot__backbone_001__ils0.05__g0.00__G100__r1__none,pilot,backbone_001,"(((((B,E),F),A),D),C)","(((((x,x),x),x),x),x)","(((((B:1,E:1):0.05,F:1.05):0.05,A:1.1):0.05,D:1.15):0.05,C:1.2);","(((((B:1,E:1):0.05,F:1.05):0.05,A:1.1):0.05,D:1.15):0.05,C:1.2);",none,none,none,0.0,0.05,100,1,backbone_001|0.05|0|100|none,1274757610
pilot__backbone_001__ils0.05__g0.00__G100__r2__none,pilot,backbone_001,"(((((B,E),F),A),D),C)","(((((x,x),x),x),x),x)","(((((B:1,E:1):0.05,F:1.05):0.05,A:1.1):0.05,D:1.15):0.05,C:1.2);","(((((B:1,E:1):0.05,F:1.05):0.05,A:1.1):0.05,D:1.15):0.05,C:1.2);",none,none,none,0.0,0.05,100,2,backbone_001|0.05|0|100|none,1039137412
pilot__backbone_002__ils0.05__g0.20__G100__r1__AtoC,pilot,backbone_002,"((((A,F),(D,E)),B),C)","((((x,x),(x,x)),x),x)","((((A:1,F:1):0.05,(D:1,E:1):0.05):0.05,B:1.1):0.05,C:1.15);","((C:0.25)#H1:0.9,((((A:0.25,#H1:0.0::0.2):0.75,F:1):0.05,(D:1,E:1):0.05):0.05,B:1.1):0.05);",A,C,A>C,0.2,0.05,100,1,backbone_002|0.05|0.2|100|A>C,1818038162
pilot__backbone_002__ils0.05__g0.20__G100__r2__AtoC,pilot,backbone_002,"((((A,F),(D,E)),B),C)","((((x,x),(x,x)),x),x)","((((A:1,F:1):0.05,(D:1,E:1):0.05):0.05,B:1.1):0.05,C:1.15);","((C:0.25)#H1:0.9,((((A:0.25,#H1:0.0::0.2):0.75,F:1):0.05,(D:1,E:1):0.05):0.05,B:1.1):0.05);",A,C,A>C,0.2,0.05,100,2,backbone_002|0.05|0.2|100|A>C,1598702068
pilot__backbone_003__ils0.05__g0.20__G100__r1__CtoA,pilot,backbone_003,"((((B,D),E),(C,F)),A)","((((x,x),x),(x,x)),x)","((((B:1,D:1):0.05,E:1.05):0.05,(C:1.05,F:1.05):0.05):0.05,A:1.15);","((A:0.25)#H1:0.9,(((C:0.25,#H1:0.0::0.2):0.8,F:1.05):0.05,((B:1,D:1):0.05,E:1.05):0.05):0.05);",C,A,C>A,0.2,0.05,100,1,backbone_003|0.05|0.2|100|C>A,1374620070
pilot__backbone_003__ils0.05__g0.20__G100__r2__CtoA,pilot,backbone_003,"((((B,D),E),(C,F)),A)","((((x,x),x),(x,x)),x)","((((B:1,D:1):0.05,E:1.05):0.05,(C:1.05,F:1.05):0.05):0.05,A:1.15);","((A:0.25)#H1:0.9,(((C:0.25,#H1:0.0::0.2):0.8,F:1.05):0.05,((B:1,D:1):0.05,E:1.05):0.05):0.05);",C,A,C>A,0.2,0.05,100,2,backbone_003|0.05|0.2|100|C>A,70536053
pilot__backbone_004__ils0.05__g0.20__G100__r1__AtoE,pilot,backbone_004,"((((B,C),F),D),(A,E))","((((x,x),x),x),(x,x))","((((B:1,C:1):0.05,F:1.05):0.05,D:1.1):0.05,(A:1.1,E:1.1):0.05);","(((E:0.25)#H1:0.85,(A:0.25,#H1:0.0::0.2):0.85):0.05,(((B:1,C:1):0.05,F:1.05):0.05,D:1.1):0.05);",A,E,A>E,0.2,0.05,100,1,backbone_004|0.05|0.2|100|A>E,2107670626
pilot__backbone_004__ils0.05__g0.20__G100__r2__AtoE,pilot,backbone_004,"((((B,C),F),D),(A,E))","((((x,x),x),x),(x,x))","((((B:1,C:1):0.05,F:1.05):0.05,D:1.1):0.05,(A:1.1,E:1.1):0.05);","(((E:0.25)#H1:0.85,(A:0.25,#H1:0.0::0.2):0.85):0.05,(((B:1,C:1):0.05,F:1.05):0.05,D:1.1):0.05);",A,E,A>E,0.2,0.05,100,2,backbone_004|0.05|0.2|100|A>E,1716772018
pilot__backbone_005__ils0.05__g0.20__G100__r1__EtoA,pilot,backbone_005,"(((A,F),(C,E)),(B,D))","(((x,x),(x,x)),(x,x))","(((A:1,F:1):0.05,(C:1,E:1):0.05):0.05,(B:1.05,D:1.05):0.05);","((((A:0.25)#H1:0.75,F:1):0.05,((E:0.25,#H1:0.0::0.2):0.75,C:1):0.05):0.05,(B:1.05,D:1.05):0.05);",E,A,E>A,0.2,0.05,100,1,backbone_005|0.05|0.2|100|E>A,1804783602
pilot__backbone_005__ils0.05__g0.20__G100__r2__EtoA,pilot,backbone_005,"(((A,F),(C,E)),(B,D))","(((x,x),(x,x)),(x,x))","(((A:1,F:1):0.05,(C:1,E:1):0.05):0.05,(B:1.05,D:1.05):0.05);","((((A:0.25)#H1:0.75,F:1):0.05,((E:0.25,#H1:0.0::0.2):0.75,C:1):0.05):0.05,(B:1.05,D:1.05):0.05);",E,A,E>A,0.2,0.05,100,2,backbone_005|0.05|0.2|100|E>A,1850657545
pilot__backbone_006__ils0.05__g0.40__G100__r1__AtoC,pilot,backbone_006,"(((A,F),B),((C,D),E))","(((x,x),x),((x,x),x))","(((A:1,F:1):0.05,B:1.05):0.05,((C:1,D:1):0.05,E:1.05):0.05);","((((C:0.25)#H1:0.75,D:1):0.05,E:1.05):0.05,(((A:0.25,#H1:0.0::0.4):0.75,F:1):0.05,B:1.05):0.05);",A,C,A>C,0.4,0.05,100,1,backbone_006|0.05|0.4|100|A>C,1278803508
pilot__backbone_006__ils0.05__g0.40__G100__r2__AtoC,pilot,backbone_006,"(((A,F),B),((C,D),E))","(((x,x),x),((x,x),x))","(((A:1,F:1):0.05,B:1.05):0.05,((C:1,D:1):0.05,E:1.05):0.05);","((((C:0.25)#H1:0.75,D:1):0.05,E:1.05):0.05,(((A:0.25,#H1:0.0::0.4):0.75,F:1):0.05,B:1.05):0.05);",A,C,A>C,0.4,0.05,100,2,backbone_006|0.05|0.4|100|A>C,35137763
